Per capita real GDP by state (chained 2009 dollars),,,
Levels ,,,
Bureau of Economic Analysis ,,,
All industry total,,,
Fips,Area,2013,Rank
0,United States,48397,--
11000,District of Columbia,159506,--
2000,Alaska,66817,1
38000,North Dakota,63911,2
9000,Connecticut,62989,3
36000,New York,62130,4
56000,Wyoming,61297,5
25000,Massachusetts,61191,6
10000,Delaware,59767,7
34000,New Jersey,55959,8
53000,Washington,53735,9
6000,California,53505,10
24000,Maryland,53176,11
48000,Texas,52623,12
27000,Minnesota,52372,13
31000,Nebraska,51664,14
17000,Illinois,51434,15
51000,Virginia,51351,16
8000,Colorado,50457,17
41000,Oregon,49897,18
15000,Hawaii,49087,19
19000,Iowa,48554,20
33000,New Hampshire,48099,21
46000,South Dakota,46875,22
44000,Rhode Island,46679,23
42000,Pennsylvania,46560,24
55000,Wisconsin,45676,25
22000,Louisiana,45588,26
39000,Ohio,44579,27
20000,Kansas,44462,28
18000,Indiana,43347,29
37000,North Carolina,43200,30
32000,Nevada,42883,31
50000,Vermont,42814,32
49000,Utah,42474,33
13000,Georgia,42262,34
29000,Missouri,41963,35
47000,Tennessee,41295,36
26000,Michigan,41169,37
40000,Oklahoma,40957,38
35000,New Mexico,38971,39
4000,Arizona,38762,40
21000,Kentucky,38371,41
12000,Florida,38197,42
30000,Montana,38021,43
23000,Maine,37405,44
1000,Alabama,37189,45
5000,Arkansas,36539,46
45000,South Carolina,35608,47
54000,West Virginia,34742,48
16000,Idaho,34608,49
28000,Mississippi,31642,50
92000,Mideast,57096,1
91000,New England,56458,2
98000,Far West,52794,3
96000,Southwest,48420,4
94000,Plains,47833,5
93000,Great Lakes,45707,6
97000,Rocky Mountain,45597,7
95000,Southeast,40731,8
Legend / Footnotes:,,,
Note-- NAICS Industry detail is based on the 2007 North American Industry Classification System (NAICS).,,,
Note-- Per capita real GDP statistics for 1997-2014 reflect Census Bureau midyear population estimates available as of December 2014.,,,
"Last updated: December 10, 2015 - revised statistics for 2007-2014 (estimates in current dollars); 1997-2014 (estimates in chained [2009] dollars)",,,
